yyyymmdd, pH (Total scale), µatm
20170601, 7.991076923076923, 408.4
20170601, 8.008969230769232, 423.6
20170601, 8.012815384615383, 423.1
20170601, 8.00383846153846, 445.1
20170601, 8.004723076923076, 447.8
20170601, 8.0057, 449.4
20170602, 8.00403076923077, 454.7
20170602, 8.010307692307693, 449.2
20170602, 7.9870307692307705, 445.6
20170602, 7.970799999999998, 464.3
20170602, 7.976569230769229, 468.4
20170602, 7.974192307692308, 480.8
20170602, 7.9703, 497.8
20170602, 7.978984615384615, 485.3
20170602, 7.970292307692309, 502.1
20170602, 7.973523076923078, 490
20170602, 7.987761538461537, 487.5
20170602, 7.986823076923077, 485.8
20170602, 7.9904, 482.3
20170602, 8.001561538461537, 470.1
20170602, 8.034315384615384, 428.5
20170602, 7.974969230769231, 463.5
20170602, 7.987415384615384, 415.3
20170602, 7.986046153846153, 445.8
20170602, 8.00623076923077, 432.9
20170602, 7.995092307692308, 452
20170602, 8.018015384615385, 443.6
20170602, 8.009938461538463, 451
20170602, 8.017653846153845, 456.3
20170602, 8.010861538461539, 462.2
20170603, 8.005892307692308, 477
20170603, 8.007707692307692, 479
20170603, 8.009792307692306, 483.8
20170603, 8.004223076923076, 452.6
20170603, 7.993707692307693, 463.7
20170603, 7.9724538461538454, 491
20170603, 7.997092307692308, 476.1
20170603, 7.995592307692307, 487.4
20170603, 7.989269230769231, 492.7
20170603, 7.988269230769232, 500.8
20170603, 7.9863307692307695, 508.8
20170603, 7.999292307692307, 501.4
20170603, 7.994, 499.4
20170603, 8.004400000000002, 484.5
20170603, 8.004561538461537, 487.6
20170603, 8.000292307692309, 454.4
20170603, 7.9790230769230766, 441
20170603, 8.0062, 432.7
20170603, 7.987907692307691, 455
20170603, 8.062884615384617, 403.7
20170603, 8.010446153846154, 433.8
20170603, 8.002938461538463, 446.3
20170603, 8.00913846153846, 454.5
20170603, 7.994299999999999, 472.4
20170604, 8.00993076923077, 471.9
20170604, 8.014676923076921, 475.3
20170604, 7.976130769230769, 495.1
20170604, 8.001353846153847, 499.4
20170604, 8.0252, 451.4
20170604, 8.014076923076924, 457.6
20170604, 7.969861538461539, 499.7
20170604, 7.987646153846155, 483.1
20170604, 7.974423076923076, 525.9
20170604, 7.978476923076921, 512.6
20170604, 7.9831769230769245, 515.8
20170604, 7.968338461538462, 528.8
20170604, 7.994115384615385, 508.7
20170604, 8.009315384615384, 496.9
20170604, 8.00226153846154, 494.3
20170604, 8.001861538461538, 493.7
20170604, 8.018253846153845, 481.4
20170604, 8.011761538461538, 451.4
20170604, 8.018369230769231, 440.2
20170604, 8.023584615384616, 440
20170604, 8.018615384615384, 452.2
20170604, 8.015323076923076, 465.1
20170604, 8.03016923076923, 466.7
20170604, 8.036446153846153, 478.3
20170605, 8.018407692307692, 481.4
20170605, 8.009746153846153, 510.3
20170605, 8.008684615384617, 498.8
20170605, 8.01543076923077, 495.9
20170605, 8.004807692307693, 533.7
20170605, 7.9929461538461535, 500
20170605, 7.983215384615385, 455
20170605, 7.978546153846154, 511.1
20170605, 7.977153846153846, 516.1
20170605, 7.994876923076922, 503.5
20170605, 7.991446153846153, 510.7
20170605, 7.985276923076923, 512.4
20170605, 7.986076923076924, 514
20170605, 8.005315384615384, 504.6
20170605, 8.004707692307692, 500.7
20170605, 8.006561538461538, 505.1
20170605, 8.008138461538461, 498.3
20170605, 7.99866923076923, 476.4
20170605, 7.983984615384614, 472.1
20170605, 7.99863076923077, 471.5
20170605, 7.992307692307691, 486.4
20170605, 7.996799999999999, 497.7
20170605, 7.995553846153848, 510.8
20170606, 8.0027, 507.3
20170606, 8.00006923076923, 506.9
20170606, 7.996723076923076, 510.3
20170606, 8.0009, 512.9
20170606, 8.002661538461538, 504.7
20170606, 8.005692307692307, 487.2
20170606, 8.00463846153846, 452.1
20170606, 7.99303076923077, 449.1
20170606, 7.968507692307693, 469.6
20170606, 7.9693692307692325, 474.4
20170606, 7.928869230769232, 529.4
20170606, 7.961407692307692, 504.5
20170606, 7.963953846153847, 515.6
20170606, 7.967823076923077, 520.6
20170606, 7.968130769230769, 524
20170606, 7.969569230769232, 523.8
20170606, 7.9995692307692305, 504.8
20170606, 8.018546153846152, 489.1
20170606, 8.011515384615382, 481.4
20170606, 8.016184615384615, 465.6
20170606, 8.011507692307692, 464
20170606, 8.003915384615384, 489.4
20170606, 8.005123076923077, 494.4
20170606, 8.024884615384615, 481.3
20170607, 8.005238461538461, 500.8
20170607, 7.979238461538461, 529.1
20170607, 8.011561538461539, 506.7
20170607, 8.003969230769231, 519.3
20170607, 8.019184615384615, 510.1
20170607, 8.015315384615386, 516.9
20170607, 8.000230769230768, 527.1
20170607, 7.986869230769231, 498.3
20170607, 7.958599999999999, 541.9
20170607, 7.962530769230769, 544.2
20170607, 7.9610615384615375, 547.5
20170607, 7.978392307692308, 539.4
20170607, 7.976738461538461, 546.3
20170607, 7.9826461538461535, 539.6
20170607, 7.976553846153847, 545.2
20170607, 7.991623076923076, 532.9
20170607, 8.013707692307692, 515.6
20170607, 8.039284615384615, 477.6
20170607, 8.047623076923077, 482.3
20170607, 8.0422, 478.9
20170607, 8.15249230769231, 390
20170607, 8.092246153846153, 415.4
20170607, 8.062115384615383, 447.1
20170607, 8.029384615384615, 477.7
20170608, 8.039253846153844, 482.1
20170608, 8.041153846153845, 482.5
20170608, 8.019815384615386, 498.2
20170608, 8.02436153846154, 503.7
20170608, 8.01943076923077, 508.8
20170608, 8.024461538461537, 508.4
20170608, 8.027, 511.3
20170608, 8.014369230769232, 476.4
20170608, 7.992269230769231, 494.6
20170608, 7.979800000000001, 511
20170608, 7.968884615384615, 511.6
20170608, 7.979407692307692, 517
20170608, 8.001284615384616, 514.2
20170608, 8.015699999999999, 493.1
20170608, 8.016161538461539, 497.8
20170608, 8.02470769230769, 500
20170608, 8.030569230769231, 493.2
20170608, 8.021046153846154, 501.6
20170608, 8.046123076923077, 482.6
20170608, 8.059715384615384, 422.9
20170608, 8.065538461538463, 440.1
20170608, 8.059753846153844, 435.1
20170608, 8.055176923076923, 452.2
20170609, 8.042023076923078, 464.8
20170609, 8.056907692307693, 473.6
20170609, 8.061161538461539, 471.2
20170609, 8.046769230769232, 483.1
20170609, 8.030884615384617, 505.9
20170609, 8.03473076923077, 509.7
20170609, 8.037838461538463, 513
20170609, 8.041576923076923, 457
20170609, 8.0152, 457.7
20170609, 8.011061538461538, 472.1
20170609, 7.974646153846155, 487.2
20170609, 7.998923076923078, 496.1
20170609, 8.029246153846154, 487.8
20170609, 8.029269230769232, 497.4
20170609, 8.03013076923077, 500.5
20170609, 8.0114, 520.5
20170609, 8.026815384615386, 512.1
20170609, 8.033215384615385, 507.1
20170609, 8.026523076923077, 514.9
20170609, 8.030084615384613, 492.2
20170609, 8.024384615384616, 463.6
20170609, 8.029892307692307, 457
20170609, 8.019215384615386, 477.3
20170609, 8.042438461538461, 470.1
20170610, 8.023, 493.1
20170610, 8.042776923076923, 499.6
20170610, 8.027007692307693, 500.6
20170610, 8.009999999999998, 515.2
20170610, 8.036961538461538, 511.9
20170610, 8.031276923076923, 522.9
20170610, 8.028561538461537, 526.3
20170610, 8.026869230769233, 530.3
20170610, 8.006, 488.3
20170610, 8.004484615384616, 492.4
20170610, 8.018992307692308, 465.4
20170610, 7.987515384615384, 500.4
20170610, 8.001299999999999, 508.2
20170610, 8.01047692307692, 504.5
20170610, 8.038138461538463, 498.8
20170610, 8.054684615384614, 487.8
20170610, 8.031492307692307, 499.4
20170610, 8.04013076923077, 496.1
20170610, 8.024346153846155, 506.8
20170610, 8.028584615384615, 505.9
20170610, 8.037246153846153, 495.1
20170610, 8.051484615384616, 475.7
20170610, 8.064269230769229, 475.1
20170610, 8.03936923076923, 486.1
20170611, 8.049523076923077, 468
20170611, 8.053646153846154, 475.5
20170611, 8.041784615384616, 510
20170611, 8.036692307692308, 514.6
20170611, 8.024384615384617, 529.6
20170611, 8.023853846153845, 527.1
20170611, 8.018046153846154, 537.7
20170611, 8.021484615384614, 537.9
20170611, 8.022184615384615, 552.2
20170611, 8.00443076923077, 518.3
20170611, 7.978076923076925, 521.4
20170611, 7.995261538461538, 510.3
20170611, 7.981953846153845, 524.1
20170611, 7.999469230769231, 520.8
20170611, 8.007515384615385, 519
20170611, 8.015753846153846, 521.8
20170611, 8.008723076923077, 533.8
20170611, 8.021884615384616, 511
20170611, 8.0336, 506.7
20170611, 8.026069230769231, 513.1
20170611, 8.033861538461538, 503.1
20170611, 8.050592307692309, 486
20170611, 8.041746153846155, 492.1
20170611, 8.032392307692307, 494.8
20170612, 7.9749923076923075, 503
20170612, 7.884853846153845, 520.4
20170612, 8.042015384615386, 508.4
20170612, 7.931446153846153, 559.9
20170612, 8.003407692307693, 564.4
20170612, 8.01343076923077, 555.2
20170612, 7.995353846153846, 572.2
20170612, 8.012576923076923, 552.1
20170612, 8.003415384615383, 487.1
20170612, 7.97773076923077, 527.2
20170612, 7.973761538461539, 538.8
20170612, 7.996115384615385, 511.3
20170612, 7.969330769230767, 541.2
20170612, 7.9942, 542.4
20170612, 8.017700000000001, 536
20170612, 8.031853846153846, 524
20170612, 8.019769230769231, 529.4
20170612, 8.01713076923077, 536.2
20170612, 8.007353846153846, 548.5
20170612, 8.023346153846152, 533.3
20170612, 8.018969230769232, 528.8
20170612, 8.028223076923076, 521.5
20170612, 8.041338461538462, 509.6
20170613, 8.010992307692309, 546.2
20170613, 7.997338461538463, 553.4
20170613, 8.003253846153846, 577.3
20170613, 7.997984615384615, 577
20170613, 8.003084615384616, 583.2
20170613, 7.996207692307692, 613.2
20170613, 7.981100000000001, 633.1
20170613, 7.989315384615384, 591.4
20170613, 7.9910000000000005, 609.3
20170613, 8.010653846153847, 583.9
20170613, 7.966953846153846, 591.3
20170613, 7.963884615384615, 570.8
20170613, 7.9533000000000005, 581.8
20170613, 7.990515384615384, 550.5
20170613, 7.975415384615385, 564
20170613, 8.0021, 549.5
20170613, 8.012284615384617, 556.2
20170613, 8.032746153846155, 533.3
20170613, 8.012846153846155, 555.2
20170613, 8.007784615384614, 576.3
20170613, 7.999099999999999, 456.6
20170614, 7.977084615384616, 488.7
20170614, 7.984046153846155, 489
20170614, 7.968853846153845, 516.3
20170614, 7.956392307692306, 524.1
20170614, 7.9435153846153845, 542.7
20170614, 7.9441538461538475, 555.1
20170614, 7.934384615384616, 565.8
20170614, 7.924884615384614, 571.5
20170614, 7.935153846153847, 586.8
20170614, 7.954115384615386, 574.5
20170614, 7.918030769230769, 639.8
20170614, 7.9131769230769216, 552.5
20170614, 7.941623076923076, 546.5
20170614, 7.942938461538461, 531.9
20170614, 7.939000000000001, 507.7
20170614, 7.93736153846154, 504.2
20170614, 7.869230769230769, 539.5
20170614, 7.8869461538461545, 497.6
20170614, 7.81993076923077, 522.6
20170614, 7.89036923076923, 510.9
20170614, 7.842246153846154, 516.8
20170614, 7.833161538461538, 519.7
20170614, 7.869323076923076, 520.7
20170614, 7.873099999999999, 507.6
